Time (ps),EPTOT
267.0,-909708.7388
267.2,-909612.0642
267.4,-910037.5241
267.6,-910108.4097
267.8,-910000.0398
268.0,-909662.2466
268.2,-909927.3743
268.4,-910236.4413
268.6,-910217.0544
268.8,-910371.7348
269.0,-910396.1109
269.2,-909998.6472
269.4,-909937.378
269.6,-909658.5714
269.8,-909897.7462
270.0,-909705.2737
270.2,-909818.463
270.4,-909641.7553
270.6,-909881.9945
270.8,-909800.9527
271.0,-909450.9657
271.2,-909745.6073
271.4,-909650.3392
271.6,-909635.2327
271.8,-909757.2327
272.0,-910078.085
272.2,-909828.828
272.4,-910289.52
272.6,-910021.7284
272.8,-910391.7475
273.0,-909656.165
273.2,-909951.2487
273.4,-910457.5422
273.6,-909823.9522
273.8,-910155.5376
274.0,-909624.4922
274.2,-909741.4854
274.4,-909651.7391
274.6,-909723.6275
274.8,-909680.4787
275.0,-909811.5508
275.2,-910024.4601
275.4,-909945.2456
