Time (ps),ETOT
237.8,-836337.0016
238.0,-835945.1374
238.2,-836026.3254
238.4,-836089.691
238.6,-836227.3512
238.8,-836763.6013
239.0,-836479.1241
239.2,-836432.5733
239.4,-836704.4761
239.6,-836549.259
239.8,-836383.1518
240.0,-836135.6742
240.2,-836457.7415
240.4,-836334.3042
240.6,-836703.8125
240.8,-836715.8753
241.0,-837059.0641
241.2,-836794.4132
241.4,-836895.6562
241.6,-836927.9448
241.8,-836695.1738
242.0,-836978.6467
242.2,-836919.0101
242.4,-836746.9942
242.6,-836539.6682
242.8,-836991.5231
243.0,-836562.8605
243.2,-836676.8798
243.4,-836492.0518
243.6,-836190.6268
243.8,-836420.9093
244.0,-836417.3761
244.2,-836527.7057
244.4,-836076.6371
244.6,-836171.3849
244.8,-836290.6648
245.0,-836374.3214
245.2,-836568.0094
245.4,-836750.5213
245.6,-836586.0971
245.8,-836534.5247
246.0,-836699.4806
246.2,-836752.3196
246.4,-836472.7568
246.6,-836436.3826
246.8,-837141.2883
247.0,-837200.0582
247.2,-837040.0253
247.4,-837209.1498
247.6,-836974.1133
247.8,-837044.5506
248.0,-837027.6571
248.2,-837199.8649
248.4,-837030.6243
248.6,-837205.1438
248.8,-837289.8336
249.0,-837285.0068
249.2,-837167.8883
249.4,-836953.5079
249.6,-837015.8727
249.8,-836814.4522
250.0,-836874.1743
250.2,-836776.6777
250.4,-836877.6772
250.6,-836655.1602
250.8,-836740.4292
251.0,-836936.2065
251.2,-837039.9361
251.4,-836926.2896
251.6,-837321.9373
251.8,-837303.1389
252.0,-837416.1221
252.2,-837232.4674
252.4,-837062.0803
252.6,-836764.9249
252.8,-836880.37
253.0,-836969.056
253.2,-837175.7285
253.4,-837353.1769
253.6,-837078.4107
253.8,-837300.6124
254.0,-837050.6059
254.2,-837097.0852
254.4,-836901.6884
254.6,-837330.1956
254.8,-837380.1027
255.0,-837646.4067
255.2,-837427.5427
255.4,-836959.146
255.6,-837038.5678
255.8,-836704.7177
256.0,-836798.3448
256.2,-836449.7303
256.4,-836339.927
256.6,-836369.2313
256.8,-836631.1384
257.0,-836793.2515
257.2,-836624.3647
257.4,-836663.1396
257.6,-836762.302
257.8,-836597.9528
258.0,-837041.7872
258.2,-836984.1619
258.4,-836882.7022
258.6,-836659.0194
258.8,-836719.2648
259.0,-836724.8659
259.2,-837125.3308
259.4,-836869.1412
259.6,-837094.8172
259.8,-836932.1908
260.0,-837047.744
260.2,-836973.9947
260.4,-837120.1287
260.6,-836962.8308
260.8,-836978.427
261.0,-837231.7435
261.2,-837097.3693
261.4,-837070.1972
261.6,-837226.4609
261.8,-837027.655
262.0,-837068.1905
262.2,-837019.1212
262.4,-837222.1868
262.6,-836919.8097
262.8,-837105.8734
263.0,-836651.9127
263.2,-836651.3555
263.4,-836747.6473
263.6,-836878.4077
263.8,-837282.0737
264.0,-836765.6808
264.2,-836890.474
264.4,-836916.1494
264.6,-837386.7143
264.8,-837010.0093
265.0,-837271.7471
265.2,-837304.9361
265.4,-837451.8753
265.6,-837121.5049
265.8,-836828.599
266.0,-836733.56
266.2,-836971.1556
266.4,-836870.6229
266.6,-837003.4809
266.8,-836999.6295
267.0,-837243.6544
267.2,-837143.0377
267.4,-837248.0798
267.6,-837403.8156
267.8,-837231.1213
268.0,-837321.3508
268.2,-837212.6746
268.4,-837189.398
268.6,-837038.4631
268.8,-837113.2341
269.0,-836821.3273
269.2,-837292.5983
269.4,-837539.2391
269.6,-837682.8789
269.8,-837246.499
270.0,-837090.427
270.2,-837232.818
270.4,-837389.9904
270.6,-837101.0588
270.8,-837215.7779
271.0,-837658.8893
271.2,-837425.0361
271.4,-837131.9438
271.6,-837483.4591
271.8,-837661.3646
272.0,-837270.6653
272.2,-837092.759
272.4,-836807.867
272.6,-837395.3239
272.8,-836830.2535
273.0,-836742.088
273.2,-837175.3898
273.4,-837310.141
273.6,-837425.565
273.8,-836841.4491
274.0,-837167.4197
274.2,-837202.9937
274.4,-837347.1265
274.6,-837134.527
274.8,-837241.8757
275.0,-837230.4794
275.2,-837362.9824
275.4,-837484.2631
275.6,-837739.5722
