Time (ps),ETOT
223.0,-572583.0735
223.2,-572586.5033
223.4,-572777.5562
223.6,-572361.343
223.8,-572331.6417
224.0,-572647.9793
224.2,-572350.5054
224.4,-572588.0417
224.6,-572884.881
224.8,-573126.7272
225.0,-572743.4286
225.2,-572447.9248
225.4,-572325.8807
225.6,-572634.1947
225.8,-572756.3611
226.0,-572494.8778
226.2,-572472.0966
226.4,-572732.6788
226.6,-572853.3342
226.8,-572308.1923
227.0,-572499.8981
227.2,-572444.3068
227.4,-572459.6044
227.6,-572589.308
227.8,-572345.0222
228.0,-572130.5303
228.2,-572392.1089
228.4,-572802.1633
228.6,-572657.165
228.8,-572884.697
229.0,-572997.683
229.2,-572957.3758
229.4,-572678.0994
229.6,-572853.5626
229.8,-572694.3354
230.0,-572420.5147
230.2,-572708.6469
230.4,-572531.7045
230.6,-572641.4367
230.8,-572605.3237
231.0,-572883.1303
231.2,-572858.7379
231.4,-572818.0833
231.6,-573591.9922
231.8,-572848.8189
232.0,-572864.5219
232.2,-572727.9861
232.4,-573044.4671
232.6,-573425.8886
232.8,-573365.1147
233.0,-573134.0049
233.2,-573023.5973
233.4,-572519.9595
233.6,-572508.1092
233.8,-572487.5948
234.0,-572524.2643
234.2,-572498.1711
234.4,-572489.2554
234.6,-572058.1481
234.8,-572496.2288
235.0,-572898.6539
235.2,-572878.6684
235.4,-572871.9869
235.6,-572989.3638
235.8,-572800.688
236.0,-573098.2499
236.2,-572857.1119
236.4,-573037.8437
236.6,-572881.1441
236.8,-573082.1836
237.0,-573112.2258
237.2,-572944.8893
237.4,-572844.7356
237.6,-572974.4411
237.8,-572971.7079
238.0,-573194.2834
238.2,-573571.8606
238.4,-573442.1007
238.6,-573302.4057
238.8,-572965.982
239.0,-573136.1772
239.2,-573022.4691
239.4,-573141.8961
239.6,-573281.1949
239.8,-572898.8229
240.0,-573124.9724
240.2,-573196.712
240.4,-573029.7183
240.6,-573269.1862
240.8,-573393.9315
241.0,-573554.7261
241.2,-573447.6349
241.4,-573364.9951
241.6,-573279.6397
241.8,-573191.9213
242.0,-572708.7858
242.2,-572612.262
242.4,-573048.8262
242.6,-573055.9938
242.8,-572761.7165
243.0,-572972.7136
243.2,-573414.6589
243.4,-573581.7241
243.6,-573472.8891
243.8,-573590.744
244.0,-573205.5264
