Time (ps),TEMP
347.4,301.77
347.6,300.2
347.8,300.16
348.0,299.23
348.2,300.61
348.4,300.53
348.6,302.79
348.8,300.91
349.0,298.87
349.2,302.15
349.4,299.93
349.6,300.68
349.8,300.5
350.0,300.58
350.2,299.54
350.4,301.25
350.6,299.09
350.8,300.01
351.0,298.64
351.2,299.25
351.4,300.37
351.6,298.99
351.8,298.09
352.0,301.25
352.2,300.07
352.4,299.96
352.6,299.81
352.8,300.12
353.0,299.35
353.2,299.55
353.4,298.13
353.6,300.17
353.8,300.1
354.0,298.81
354.2,299.54
354.4,299.69
354.6,300.25
354.8,299.62
355.0,300.24
355.2,299.6
355.4,299.79
355.6,300.12
355.8,299.95
356.0,300.57
356.2,299.6
356.4,299.58
356.6,300.6
356.8,300.38
357.0,301.53
357.2,300.55
357.4,300.29
357.6,299.22
357.8,300.36
358.0,300.68
358.2,300.88
358.4,300.76
358.6,301.08
358.8,300.26
359.0,300.5
359.2,300.55
359.4,299.05
359.6,300.11
359.8,299.08
360.0,298.66
360.2,299.99
360.4,300.62
360.6,299.68
360.8,298.79
361.0,299.87
361.2,300.54
361.4,300.9
361.6,300.38
361.8,300.04
362.0,299.39
362.2,299.9
362.4,299.2
362.6,299.54
362.8,299.78
363.0,300.73
363.2,300.28
363.4,299.5
363.6,300.01
363.8,298.71
364.0,299.75
364.2,298.4
364.4,298.27
364.6,299.43
364.8,300.54
365.0,299.96
365.2,299.1
365.4,298.88
365.6,300.07
365.8,299.36
366.0,299.94
366.2,299.68
366.4,299.67
366.6,300.57
366.8,301.54
367.0,301.53
367.2,300.44
367.4,299.23
367.6,299.59
367.8,298.53
368.0,299.11
368.2,299.19
