Time (ps),EKTOT
281.6,90249.7429
281.8,89947.0636
282.0,90027.2113
282.2,90135.6045
282.4,90053.7819
282.6,89904.8262
282.8,89790.5075
283.0,89821.9354
283.2,90205.4427
283.4,90022.363
283.6,90022.315
283.8,90086.1976
284.0,89700.6363
284.2,90020.4851
284.4,90155.9537
284.6,89965.3731
284.8,90028.1637
285.0,89799.508
285.2,89937.0413
285.4,89775.2704
285.6,90401.9855
285.8,89898.1817
286.0,90073.0689
286.2,90193.7984
286.4,90383.6116
286.6,90009.8219
286.8,90062.5008
287.0,90067.4882
287.2,90023.5933
287.4,90212.4931
287.6,89736.0102
287.8,90040.515
288.0,90266.9179
288.2,90340.4873
288.4,90433.1963
288.6,90342.551
288.8,90075.9655
289.0,90572.9164
289.2,90278.7754
289.4,90001.5436
289.6,89852.0772
289.8,90144.6503
290.0,90304.2264
290.2,89916.6379
290.4,89927.3467
290.6,90429.227
290.8,90136.1728
291.0,90314.8672
291.2,90484.2634
291.4,90130.2922
291.6,89975.736
291.8,89747.3559
292.0,90103.8294
292.2,90180.679
292.4,90262.0389
292.6,90283.0261
292.8,90316.8911
293.0,90016.0689
293.2,89812.7279
293.4,90327.6405
293.6,90128.658
293.8,90223.5228
294.0,90212.6163
294.2,89737.0172
294.4,89637.9728
294.6,89752.6465
294.8,90233.6795
295.0,89959.7874
295.2,90088.212
295.4,90102.5588
295.6,89957.0258
295.8,90115.3003
296.0,90118.3263
296.2,90124.7003
296.4,90109.0639
296.6,90354.5778
296.8,90127.8373
297.0,90185.3363
297.2,90199.051
297.4,89889.0408
297.6,90438.9801
297.8,89759.7486
298.0,90023.3098
298.2,90039.8332
298.4,90124.9125
298.6,90076.7978
298.8,90228.1939
299.0,90094.6623
299.2,90479.6685
299.4,90383.9026
299.6,89832.1298
299.8,89729.0349
300.0,90410.7388
300.2,89906.7617
300.4,90094.9486
300.6,90177.2353
300.8,90326.3305
301.0,89966.6278
301.2,90132.1556
