Time (ps),PRES
307.4,143.0
307.6,-51.5
307.8,-15.3
308.0,11.4
308.2,181.7
308.4,38.7
308.6,-104.4
308.8,118.5
309.0,-148.5
309.2,-63.4
309.4,-39.6
309.6,2.3
309.8,24.5
310.0,17.6
310.2,-194.5
310.4,40.8
310.6,-39.8
310.8,-130.6
311.0,-111.3
311.2,42.8
311.4,64.4
311.6,-95.9
311.8,10.6
312.0,149.8
312.2,5.9
312.4,6.4
312.6,100.7
312.8,-235.2
313.0,-31.1
313.2,-103.0
313.4,23.5
313.6,51.2
313.8,33.2
314.0,25.1
314.2,36.2
314.4,82.8
314.6,34.1
314.8,-68.4
315.0,-37.2
315.2,-80.4
315.4,31.1
315.6,106.8
315.8,-130.2
316.0,-113.4
316.2,87.0
316.4,-76.2
316.6,-9.4
316.8,9.2
317.0,-19.5
317.2,97.8
317.4,34.8
317.6,-37.8
317.8,-49.3
318.0,81.6
318.2,31.6
318.4,114.7
318.6,13.8
318.8,-88.0
319.0,156.6
319.2,-143.5
319.4,100.1
319.6,5.5
319.8,-22.4
320.0,-127.3
320.2,61.1
320.4,97.4
320.6,56.5
320.8,-33.7
321.0,33.1
321.2,78.5
321.4,-52.4
321.6,48.2
321.8,81.6
322.0,20.7
322.2,12.3
322.4,10.4
322.6,179.7
322.8,213.6
323.0,-10.8
323.2,54.7
323.4,-38.0
323.6,131.5
323.8,103.6
324.0,-64.8
324.2,-32.6
324.4,-71.4
324.6,-91.8
324.8,149.8
325.0,73.9
325.2,9.0
325.4,-103.2
325.6,-62.7
325.8,-26.4
326.0,109.6
326.2,61.1
326.4,-93.6
326.6,-51.1
326.8,-28.8
327.0,-124.5
327.2,161.6
327.4,93.0
327.6,18.2
327.8,12.9
328.0,-33.3
328.2,-150.2
328.4,-28.0
328.6,98.8
328.8,68.8
329.0,20.7
329.2,-108.1
329.4,-21.8
329.6,-9.6
329.8,-4.0
330.0,1.0
330.2,96.7
330.4,-36.5
330.6,11.0
330.8,-55.6
331.0,87.9
331.2,-167.2
331.4,178.0
331.6,-167.6
331.8,-137.7
332.0,-247.0
332.2,-126.9
332.4,107.9
332.6,-13.5
332.8,-142.0
333.0,-25.6
333.2,13.8
333.4,51.1
333.6,-178.2
333.8,17.5
334.0,109.8
334.2,-140.8
334.4,110.8
334.6,8.5
334.8,50.5
335.0,41.7
335.2,-40.1
335.4,8.2
335.6,-0.4
335.8,173.5
336.0,2.9
336.2,-243.8
336.4,-40.7
336.6,-14.9
336.8,-95.2
337.0,-162.6
337.2,116.8
337.4,35.9
337.6,103.5
337.8,88.1
338.0,48.2
338.2,-31.1
338.4,-77.9
338.6,68.4
338.8,-9.9
339.0,66.5
339.2,83.6
339.4,-72.4
339.6,77.6
339.8,9.8
340.0,14.4
340.2,55.4
340.4,-49.5
340.6,53.2
340.8,-82.9
341.0,4.3
341.2,-138.9
341.4,-36.2
341.6,-197.8
341.8,-24.5
342.0,-29.4
342.2,-35.6
342.4,118.2
342.6,-129.0
342.8,-40.4
343.0,36.3
343.2,37.7
343.4,134.3
343.6,56.2
343.8,-55.1
344.0,47.4
344.2,-41.0
344.4,8.3
344.6,111.3
344.8,126.2
345.0,108.5
345.2,-108.2
345.4,85.1
345.6,-156.4
345.8,-98.0
346.0,42.0
346.2,45.7
